,Fraction of Channels Pruned (%),Val Acc Drop (%),Clean Val Acc (%),Clean Test Acc (%),Bad Val SR (%),Bad Test SR (%)
0,0.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
1,1.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
2,3.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
3,5.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
4,6.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
5,8.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
6,10.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
7,11.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
8,13.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
9,15.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
10,16.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
11,18.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
12,20.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
13,21.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
14,23.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
15,25.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
16,26.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
17,28.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
18,30.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
19,31.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
20,33.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
21,35.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
22,36.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
23,38.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
24,40.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
25,41.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
26,43.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
27,45.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
28,46.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
29,48.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
30,50.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
31,51.66667,0.0,98.64899974019225,98.62042088854248,100.0,100.0
32,53.33333,0.0,98.64899974019225,98.62042088854248,100.0,100.0
33,55.0,0.0,98.64899974019225,98.62042088854248,100.0,100.0
34,56.66667,0.00866,98.64033948211657,98.61262665627436,100.0,100.0
35,58.33333,0.00866,98.64033948211657,98.61262665627436,100.0,100.0
36,60.0,0.01732,98.63167922404088,98.60483242400623,100.0,100.0
37,61.66667,-0.00866,98.65765999826795,98.60483242400623,100.0,100.0
38,63.33333,0.0,98.64899974019225,98.58924395947,100.0,100.0
39,65.0,0.0433,98.6056984498138,98.55027279812938,100.0,100.0
40,66.66667,0.07794,98.57105741751104,98.53468433359313,100.0,100.0
41,68.33333,0.11258,98.53641638520828,98.52689010132501,100.0,100.0
42,70.0,0.45899,98.19000606218066,98.269680436477,100.0,100.0
43,71.66667,0.99593,97.65307006148784,97.88776305533905,100.0,100.0
44,73.33333,1.14315,97.50584567420108,97.66173031956352,100.0,100.0
45,75.0,2.89253,95.75647354291158,95.90023382696803,100.0,100.0
46,76.66667,3.44678,95.20221702606739,95.5261106780982,99.9913397419243,99.97661730319564
47,78.33333,3.93176,94.7172425738287,95.0584567420109,99.9913397419243,99.98441153546376
48,80.0,6.55582,92.09318437689443,92.29150428682775,99.9913397419243,99.98441153546376
49,81.66667,7.15337,91.49562656967177,91.8082618862042,99.9913397419243,99.98441153546376
50,83.33333,7.62969,91.01931237550879,91.30943102104443,99.98267948384861,99.97661730319564
51,85.0,9.47432,89.17467740538669,89.84411535463757,80.73958603966398,80.6469212782541
52,86.66667,14.21148,84.43751623798389,84.54403741231489,77.015675067117,77.20966484801247
53,88.33333,22.1616,76.48739932449988,76.30553390491036,35.71490430414826,36.26656274356976
54,90.0,43.78626,54.8627349095003,54.762275915822286,6.954187234779596,6.96024941543258
55,91.66667,71.55971,27.08928726076037,27.10054559625877,0.4243526457088421,0.4208885424785659
56,93.33333,84.77527,13.87373343725643,13.756819953234606,0.0,0.0
57,95.0,91.54759,7.101411622066338,6.570537802026501,0.0,0.0
58,96.66667,97.09881,1.5501861955486274,1.5198752922837102,0.0,0.0
59,98.33333,97.9302,0.7188014202823244,0.646921278254092,0.0,0.0
60,100.0,98.57106,0.0779423226812159,0.0779423226812159,0.0,0.0
